CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B016,1500,1950.0,28.45,55477.5,55477.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B016,1500,4300.0,26.4,113520.0,113520.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B016,1500,5750.0,24.26,139495.0,139495.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B319,1500,2450.0,29.45,72152.5,72152.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B319,1500,5400.0,27.4,147960.0,147960.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,A457,1500,1250.0,29.45,36812.5,36812.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,A457,1500,2700.0,27.4,73980.0,73980.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,20000.0,25.76,515200.0,515200.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,10000.0,25.76,257600.0,257600.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B223,1500,2200.0,28.45,62590.0,62590.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B223,1500,4850.0,26.4,128040.0,128040.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B223,1500,2950.0,24.26,71567.0,71567.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B219,1500,2700.0,29.45,79515.0,79515.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B219,1500,5950.0,27.4,163030.0,163030.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B219,1500,5850.0,25.26,147771.0,147771.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B300,1500,3300.0,29.45,97185.0,97185.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B300,1500,7200.0,27.4,197280.0,197280.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,8250.0,25.76,212520.0,212520.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,8500.0,25.76,218960.0,218960.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,8250.0,25.76,212520.0,212520.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B252,1500,10000.0,24.26,242600.0,242600.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS24,F001,1500,22000.0,30.75,676500.0,676500.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS24,F001,1500,9000.0,28.7,258300.0,258300.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F009,1500,30000.0,25.76,772800.0,772800.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Starter Feed,PS24,F001,1500,15000.0,28.7,430500.0,430500.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS24,F001,1500,16000.0,26.56,424960.0,424960.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B003,1500,100.0,26.4,2640.0,2640.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B003,1500,9900.0,24.26,240174.0,240174.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B328,1500,1000.0,29.45,29450.0,29450.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B328,1500,2150.0,27.4,58910.0,58910.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B328,1500,3550.0,25.26,89673.0,89673.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B087,1500,1250.0,29.45,36812.5,36812.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B087,1500,2050.0,27.4,56170.0,56170.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,B037,1500,750.0,29.45,22087.5,22087.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,B037,1500,1650.0,27.4,45210.0,45210.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B037,1500,3000.0,25.26,75780.0,75780.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,B043,1500,1500.0,29.45,44175.0,44175.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,B043,1500,3300.0,27.4,90420.0,90420.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B043,1500,6000.0,25.26,151560.0,151560.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B020,1500,9000.0,25.26,227340.0,227340.0,2019-01-02,27.17
